name,acronym,rank,source
International Conference on Computer Analysis of Images and Patterns,CAIP,C,ICORE2026
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,ICORE2026
Smart Card Research and Advanced Application Conference,CARDIS,C,ICORE2026
International Conference on Computability and Complexity in Analysis,CCA,C,ICORE2026
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C,ICORE2026
"Cooperative Design, Visualization, and Engineering",CDVE,C,ICORE2026
Computer Graphics International,CGI,C,ICORE2026
International Conference on Computer-Human Interaction Research and Applications,CHIRA,C,ICORE2026
International Conference on Implementation and Application of Automata,CIAA,C,ICORE2026
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C,ICORE2026
