title,print_issn,e_issn,field,ajg_2024
International Journal of Agile Systems and Management,1741-9174,1741-9182,OPS&TECH,1
International Journal of Business Performance and Supply Chain Modelling,1758-9401,1758-941X,OPS&TECH,1
International Journal of Business Performance Management,1368-4892,1741-5039,OPS&TECH,1
International Journal of Construction Management,1562-3599,2331-2327,OPS&TECH,1
International Journal of Engineering Business Management,1847-9790,1847-9790,OPS&TECH,1
International Journal of Enterprise Network Management,1748-1252,1748-1260,OPS&TECH,1
International Journal of Industrial and Systems Engineering,1748-5037,1748-5045,OPS&TECH,1
International Journal of Industrial Engineering and Management,2217-2661,2683-345X,OPS&TECH,1
International Journal of Information Systems and Supply Chain Management,1935-5726,1935-5734,OPS&TECH,1
International Journal of Integrated Supply Management,1477-5360,1741-8097,OPS&TECH,1
International Journal of Internet Manufacturing and Services,1751-6048,1751-6056,OPS&TECH,1
International Journal of Lean Six Sigma,2040-4166,2040-4174,OPS&TECH,1
International Journal of Logistics Management,0957-4093,1758-6550,OPS&TECH,1
International Journal of Logistics Research and Applications,1367-5567,1469-848X,OPS&TECH,1
International Journal of Logistics Systems and Management,1742-7967,1742-7975,OPS&TECH,1
International Journal of Manufacturing Technology and Management,1368-2148,1741-5195,OPS&TECH,1
International Journal of Process Management and Benchmarking,1460-6739,1741-816X,OPS&TECH,1
International Journal of Procurement Management,1753-8432,1753-8440,OPS&TECH,1
International Journal of Productivity and Performance Management,1741-0401,1741-0401,OPS&TECH,1
International Journal of Productivity and Quality Management,1746-6474,1746-6482,OPS&TECH,1
International Journal of Quality and Service Sciences,1756-669X,1756-6703,OPS&TECH,1
International Journal of Services and Operations Management,1744-2370,1744-2389,OPS&TECH,1
International Journal of Services Operations and Informatics,1741-539X,1741-5403,OPS&TECH,1
International Journal of Shipping and Transport Logistics,1756-6517,1756-6525,OPS&TECH,1
International Journal of Six Sigma and Competitive Advantage,1479-2494,1479-2753,OPS&TECH,1
International Journal of Value Chain Management,1741-5357,1741-5365,OPS&TECH,1
Journal of Global Operations and Strategic Sourcing,2398-5364,2398-5364,OPS&TECH,1
Journal of Humanitarian Logistics and Supply Chain Management,2042-6747,2042-6755,OPS&TECH,1
Journal of Intelligent Manufacturing,0956-5515,1572-8145,OPS&TECH,1
Journal of Manufacturing Systems,0278-6125,1878-6642,OPS&TECH,1
Journal of Manufacturing Technology Management,1741-038X,1758-7786,OPS&TECH,1
Journal of Public Procurement,1535-0118,2150-6930,OPS&TECH,1
Journal of Quality in Maintenance Engineering,1355-2511,1355-2511,OPS&TECH,1
Journal of Scheduling,1094-6136,1099-1425,OPS&TECH,1
Journal of Service Theory and Practice,2055-6225,2055-6225,OPS&TECH,1
Journal of Transport and Supply Chain Management,2310-8789,1995-5235,OPS&TECH,1
Knowledge and Process Management,1092-4604,1099-1441,OPS&TECH,1
Operations Management Research,1936-9735,1936-9743,OPS&TECH,1
"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",0954-4054,2041-2975,OPS&TECH,1
Production & Manufacturing Research,,2169-3277,OPS&TECH,1
Project Management Journal,8756-9728,1938-9507,OPS&TECH,1
Quality and Reliability Engineering International,0748-8017,1099-1638,OPS&TECH,1
Quality Innovation Prosperity,1335-1745,1338-984X,OPS&TECH,1
Quality Progress,0033-524X,,OPS&TECH,1
Service Science,2164-3962,2164-3970,OPS&TECH,1
Supply Chain Forum,1625-8312,1624-6039,OPS&TECH,1
TQM Journal,1754-2731,1754-2731,OPS&TECH,1
World Review of Intermodal Transportation Research,1749-4729,1749-4737,OPS&TECH,1
Management Science,0025-1909,1526-5501,OR&MANSCI,4*
Operations Research,0030-364X,1526-5463,OR&MANSCI,4*
European Journal of Operational Research,0377-2217,1872-6860,OR&MANSCI,4
IEEE Transactions on Evolutionary Computation,1089-778X,1941-0026,OR&MANSCI,4
Mathematical Programming,0025-5610,1436-4646,OR&MANSCI,4
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,OR&MANSCI,3
Annals of Operations Research,0254-5330,1572-9338,OR&MANSCI,3
Computational Optimization and Applications,0926-6003,1573-2894,OR&MANSCI,3
Computers and Operations Research,0305-0548,1873-765X,OR&MANSCI,3
Decision Sciences,0011-7315,1540-5915,OR&MANSCI,3
Evolutionary Computation,1063-6560,1530-9304,OR&MANSCI,3
Fuzzy Optimization and Decision Making,1568-4539,1573-2908,OR&MANSCI,3
IEEE Transactions on Cybernetics,2168-2267,2168-2275,OR&MANSCI,3
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2168-2216,2168-2232,OR&MANSCI,3
IISE Transactions,2472-5854,2472-5862,OR&MANSCI,3
INFORMS Journal on Computing,1091-9856,1526-5528,OR&MANSCI,3
International Journal of Forecasting,0169-2070,1872-8200,OR&MANSCI,3
Journal of Heuristics,1381-1231,1572-9397,OR&MANSCI,3
Journal of Optimization Theory and Applications,0022-3239,1573-2878,OR&MANSCI,3
Journal of the Operational Research Society,0160-5682,1476-9360,OR&MANSCI,3
Mathematics of Operations Research,0364-765X,1526-5471,OR&MANSCI,3
Naval Research Logistics,0894-069X,1520-6750,OR&MANSCI,3
Omega,0305-0483,1873-5274,OR&MANSCI,3
OR Spectrum,0171-6468,1436-6304,OR&MANSCI,3
Reliability Engineering and System Safety,0951-8320,1879-0836,OR&MANSCI,3
SIAM Journal on Optimization,1052-6234,1095-7189,OR&MANSCI,3
Transportation Science,0041-1655,1526-5447,OR&MANSCI,3
4OR,1619-4500,1614-2411,OR&MANSCI,2
Discrete Applied Mathematics,0166-218X,1872-6771,OR&MANSCI,2
Discrete Optimization,1572-5286,1873-636X,OR&MANSCI,2
Engineering Optimization,0305-215X,1029-0273,OR&MANSCI,2
EURO Journal on Computational Optimization ,2192-4406,2192-4414,OR&MANSCI,2
EURO Journal on Transportation and Logistics,2192-4376,2192-4384,OR&MANSCI,2
European Journal of Industrial Engineering,1751-5254,1751-5262,OR&MANSCI,2
Group Decision and Negotiation,0926-2644,1572-9907,OR&MANSCI,2
IMA Journal of Management Mathematics,1471-678X,1471-6798,OR&MANSCI,2
INFORMS Journal on Applied Analytics,2644-0865 ,2644-0873,OR&MANSCI,2
International Journal of Systems Science: Operations & Logistics,2330-2674,2330-2682,OR&MANSCI,2
Journal of Combinatorial Optimization,1382-6905,1573-2886,OR&MANSCI,2
Journal of Forecasting,0277-6693,1099-131X,OR&MANSCI,2
Journal of Global Optimization,0925-5001,1573-2916,OR&MANSCI,2
Journal of Management Analytics,2327-0012,2327-0039,OR&MANSCI,2
Journal of Simulation,1747-7778,1747-7786,OR&MANSCI,2
Operations Research Letters,0167-6377,1872-7468,OR&MANSCI,2
Queueing Systems,0257-0130,1572-9443,OR&MANSCI,2
Simulation Modelling Practice and Theory,1569-190X,1878-1462,OR&MANSCI,2
Socio-Economic Planning Sciences,0038-0121,1873-6041,OR&MANSCI,2
System Dynamics Review,0883-7066,1099-1727,OR&MANSCI,2
Systems Research and Behavioral Science,1092-7026,1099-1743,OR&MANSCI,2
Theory and Decision,0040-5833,1573-7187,OR&MANSCI,2
Asia-Pacific Journal of Operational Research,0217-5959,1793-7019,OR&MANSCI,1
Central European Journal of Operations Research,1435-246X,1613-9178,OR&MANSCI,1
Computational Management Science,1619-697X,1619-6988,OR&MANSCI,1
Cybernetics and Systems,0196-9722,1087-6553,OR&MANSCI,1
Decision Analysis,1545-8490,1545-8504,OR&MANSCI,1
EURO Journal on Decision Processes ,,2193-9446,OR&MANSCI,1
INFOR: Information Systems and Operational Research,0315-5986,1916-0615,OR&MANSCI,1
International Journal of Applied Decision Sciences,1755-8077,1755-8085,OR&MANSCI,1
International Journal of General Systems,0308-1079,1563-5104,OR&MANSCI,1
International Journal of Mathematics in Operational Research,1757-5850,1757-5869,OR&MANSCI,1
International Journal of Operational Research,1745-7645,1745-7653,OR&MANSCI,1
International Journal of Operations and Quantitative Management,1082-1910,,OR&MANSCI,1
International Transactions in Operational Research,0969-6016,1475-3995,OR&MANSCI,1
Journal of Business Analytics,2573-234X,2573-2358,OR&MANSCI,1
Journal of Industrial and Management Optimization,1547-5816,1553-166X,OR&MANSCI,1
Journal of Modelling in Management,1746-5664,1746-5672,OR&MANSCI,1
Journal of Multi-Criteria Decision Analysis,1057-9214,1099-1360,OR&MANSCI,1
Kybernetes,0368-492X,1758-7883,OR&MANSCI,1
Mathematical Methods of Operations Research,1432-2994,1432-5217,OR&MANSCI,1
Operational Research,1109-2858,1866-1505,OR&MANSCI,1
OPSEARCH,0030-3887,0975-0320,OR&MANSCI,1
Optimization,0233-1934,1029-4945,OR&MANSCI,1
Pacific Journal of Optimization ,1348-9151,1349-8169,OR&MANSCI,1
Pesquisa Operacional,0101-7438,1678-5142,OR&MANSCI,1
RAIRO - Operations Research,0399-0559,1290-3868,OR&MANSCI,1
SIMULATION: Transactions of The Society for Modeling and Simulation International,0037-5497,1741-3133,OR&MANSCI,1
TOP,1134-5764,1863-8279,OR&MANSCI,1
Organization Science,1047-7039,1526-5455,ORG STUD,4*
Human Relations,0018-7267,1741-282X,ORG STUD,4
Leadership Quarterly,1048-9843,1873-3409,ORG STUD,4
Organization Studies,0170-8406,1741-3044,ORG STUD,4
Organizational Research Methods,1094-4281,1552-7425,ORG STUD,4
Group and Organization Management,1059-6011,1552-3993,ORG STUD,3
Organization,1350-5084,1461-7323,ORG STUD,3
Organization and Environment,1086-0266,1552-7417,ORG STUD,3
Organizational Dynamics,0090-2616,1873-3530,ORG STUD,3
Research in Organizational Behavior,0191-3085,2468-1741,ORG STUD,3
Research in the Sociology of Organizations,0733-558X,,ORG STUD,3
Culture and Organization,1475-9551,1477-2760,ORG STUD,2
Group Processes and Intergroup Relations,1368-4302,1461-7188,ORG STUD,2
Journal of Co-operative Organization and Management,2213-297X,2213-2988,ORG STUD,2
Journal of Knowledge Management,1367-3270,1758-7484,ORG STUD,2
Journal of Organizational Behavior Management,0160-8061,1540-8604,ORG STUD,2
Journal of Organizational Change Management,0953-4814,1758-7816,ORG STUD,2
Journal of Professions and Organization,2051-8803,2051-8811,ORG STUD,2
Leadership,1742-7150,1742-7169,ORG STUD,2
Management Communication Quarterly,0893-3189,1552-6798,ORG STUD,2
Negotiation Journal,0748-4526,1571-9979,ORG STUD,2
Symbolic Interaction,0195-6086,1533-8665,ORG STUD,2
Systemic Practice and Action Research,1094-429X,1573-9295,ORG STUD,2
The Journal of Applied Behavioral Science,0021-8863,1552-6879,ORG STUD,2
Action Research,1476-7503,1741-2617,ORG STUD,1
Computational and Mathematical Organization Theory,1381-298X,1572-9346,ORG STUD,1
Ephemera: Critical Dialogues on Organization,2052-1499,1473-2866,ORG STUD,1
International Journal of Knowledge Management Studies,1743-8268,1743-8276,ORG STUD,1
International Journal of Organization Theory and Behavior,1093-4537,1532-4273,ORG STUD,1
International Journal of Organizational Analysis,1934-8835,,ORG STUD,1
International Journal of Project Organisation and Management,1740-2891,1740-2905,ORG STUD,1
Journal of Organizational Ethnography,2046-6749,2046-6757,ORG STUD,1
Leadership and Organization Development Journal,0143-7739,1472-5347,ORG STUD,1
Learning Organization,0969-6474,0969-6474,ORG STUD,1
Network Science,2050-1242,2050-1250,ORG STUD,1
Organizations and Markets in Emerging Economies,2029-4581,2345-0037,ORG STUD,1
Qualitative Research in Organizations and Management,1746-5648,1746-5656,ORG STUD,1
Tamara: Journal for Critical Organization Inquiry,,1532-5555,ORG STUD,1
Psychological Science,0956-7976,1467-9280,PSYCH (GENERAL),4*
Annual Review of Psychology,0066-4308,1545-2085,PSYCH (GENERAL),4
Behavioral and Brain Sciences,0140-525X,1469-1825,PSYCH (GENERAL),4
Cognition,0010-0277,1873-7838,PSYCH (GENERAL),4
Current Directions in Psychological Science,0963-7214,1467-8721,PSYCH (GENERAL),4
Journal of Experimental Psychology: Applied,1076-898X,1939-2192,PSYCH (GENERAL),4
Journal of Experimental Psychology: General,0096-3445,1939-2222,PSYCH (GENERAL),4
Journal of Experimental Social Psychology,0022-1031,1096-0465,PSYCH (GENERAL),4
Journal of Personality and Social Psychology,0022-3514,1939-1315,PSYCH (GENERAL),4
Nature Human Behaviour,,2397-3374,PSYCH (GENERAL),4
Personality and Social Psychology Bulletin,0146-1672,1552-7433,PSYCH (GENERAL),4
Psychological Bulletin,0033-2909,1939-1455,PSYCH (GENERAL),4
Psychological Review,0033-295X,1939-1471,PSYCH (GENERAL),4
British Journal of Psychology,0007-1269,2044-8295,PSYCH (GENERAL),3
British Journal of Social Psychology,0144-6665,2044-8309,PSYCH (GENERAL),3
Cognitive Science,0364-0213,1551-6709,PSYCH (GENERAL),3
European Journal of Social Psychology,0046-2772,1099-0992,PSYCH (GENERAL),3
Journal of Behavioral Decision Making,0894-3257,1099-0771,PSYCH (GENERAL),3
Journal of Conflict Resolution,0022-0027,1552-8766,PSYCH (GENERAL),3
Journal of Cross-Cultural Psychology,0022-0221,1552-5422,PSYCH (GENERAL),3
Journal of Environmental Psychology,0272-4944,1522-9610,PSYCH (GENERAL),3
Journal of Experimental Psychology: Learning Memory and Cognition,0278-7393,1939-1285,PSYCH (GENERAL),3
Journal of Mathematical Psychology,0022-2496,1096-0880,PSYCH (GENERAL),3
Journal of Personality,0022-3506,1467-6494,PSYCH (GENERAL),3
Judgment and Decision Making,1930-2975,1930-2975,PSYCH (GENERAL),3
Personality and Individual Differences,0191-8869,1873-3549,PSYCH (GENERAL),3
Psychological Research,0340-0727,1430-2772,PSYCH (GENERAL),3
Psychology of Women Quarterly,0361-6843,1471-6402,PSYCH (GENERAL),3
Psychometrika,0033-3123,1860-0980,PSYCH (GENERAL),3
Quarterly Journal of Experimental Psychology,1747-0218,1747-0226,PSYCH (GENERAL),3
Social Psychological and Personality Science,1948-5506,1948-5514,PSYCH (GENERAL),3
Stress and Health,1532-2998,1532-3005,PSYCH (GENERAL),3
Advances in Methods and Practices in Psychological Science (AMPPS),2515-2459,2515-2467,PSYCH (GENERAL),2
Applied Cognitive Psychology,0888-4080,1099-0720,PSYCH (GENERAL),2
Cognitive Research: Principles and Implications,,2365-7464,PSYCH (GENERAL),2
Collabra: Psychology,,2474-7394,PSYCH (GENERAL),2
Creativity Research Journal,1040-0419,1532-6934,PSYCH (GENERAL),2
Decision,2325-9965,2325-9973,PSYCH (GENERAL),2
European Journal of Psychological Assessment,1015-5759,2151-2426,PSYCH (GENERAL),2
Journal of Cognitive Engineering and Decision Making,1555-3434,2169-5032,PSYCH (GENERAL),2
Journal of Community Psychology,0090-4392,1520-6629,PSYCH (GENERAL),2
Journal of Economic Psychology,0167-4870,1872-7719,PSYCH (GENERAL),2
Journal of Language and Social Psychology,0261-927X,1552-6526,PSYCH (GENERAL),2
Journal of Nonverbal Behavior,0191-5886,1573-3653,PSYCH (GENERAL),2
Scandinavian Journal of Psychology,0036-5564,1467-9450,PSYCH (GENERAL),2
Zeitschrift fur Psychologie / Journal of Psychology,2190-8370,2151-2604,PSYCH (GENERAL),2
American Behavioral Scientist,0002-7642,1552-3381,PSYCH (GENERAL),1
American Journal of Psychology,0002-9556,1939-8298,PSYCH (GENERAL),1
Australian Journal of Psychology,0004-9530,1742-9536,PSYCH (GENERAL),1
Basic and Applied Social Psychology,0197-3533,1532-4834,PSYCH (GENERAL),1
Canadian Journal of Behavioural Science,0008-400X,1879-2669,PSYCH (GENERAL),1
Canadian Psychology,0708-5591,1878-7304,PSYCH (GENERAL),1
Current Psychology,1046-1310,1936-4733,PSYCH (GENERAL),1
European Journal of Psychology Open,,2673-8627,PSYCH (GENERAL),1
European Psychologist,1016-9040,1878-531X,PSYCH (GENERAL),1
International Journal of Intercultural Relations,0147-1767,1873-7552,PSYCH (GENERAL),1
International Journal of Psychology,0020-7594,1464-066X,PSYCH (GENERAL),1
Japanese Psychological Research,0021-5368,1468-5884,PSYCH (GENERAL),1
Journal of Constructivist Psychology,1072-0537,1521-0650,PSYCH (GENERAL),1
Journal of Happiness Studies,1389-4978,1573-7780,PSYCH (GENERAL),1
Journal of Pacific Rim Psychology,1834-4909,1834-4909,PSYCH (GENERAL),1
Journal of Positive Psychology,1743-9760,1743-9779,PSYCH (GENERAL),1
Journal of Social Psychology,0022-4545,1940-1183,PSYCH (GENERAL),1
Nordic Psychology,1901-2276,1904-0016,PSYCH (GENERAL),1
Psicothema,0214-9915,1886-144X,PSYCH (GENERAL),1
Psihologija,0048-5705,1451-9283,PSYCH (GENERAL),1
Psychological Reports,0033-2941,1558-691X,PSYCH (GENERAL),1
Psychologist,0952-8229,0952-8229,PSYCH (GENERAL),1
Social Justice Research,0885-7466,1573-6725,PSYCH (GENERAL),1
South African Journal of Psychology,0081-2463,2078-208X,PSYCH (GENERAL),1
Spanish Journal of Psychology,1138-7416,1988-2904,PSYCH (GENERAL),1
The Journal of Psychology,0022-3980,1940-1019,PSYCH (GENERAL),1
Journal of Applied Psychology,0021-9010,1939-1854,PSYCH (WOP-OB),4*
Personnel Psychology,0031-5826,1744-6570,PSYCH (WOP-OB),4*
Journal of Occupational and Organizational Psychology,0963-1798,2044-8325,PSYCH (WOP-OB),4
Journal of Occupational Health Psychology,1076-8998,1939-1307,PSYCH (WOP-OB),4
Journal of Organizational Behavior,0894-3796,1099-1379,PSYCH (WOP-OB),4
Journal of Vocational Behavior,0001-8791,1095-9084,PSYCH (WOP-OB),4
Organizational Behavior and Human Decision Processes,0749-5978,1095-9920,PSYCH (WOP-OB),4
Work and Stress,0267-8373,1464-5335,PSYCH (WOP-OB),4
Accident Analysis and Prevention,0001-4575,1879-2057,PSYCH (WOP-OB),3
Applied Ergonomics,0003-6870,1872-9126,PSYCH (WOP-OB),3
Applied Psychology,0269-994X,1464-0597,PSYCH (WOP-OB),3
Ergonomics,0014-0139,1366-5847,PSYCH (WOP-OB),3
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,PSYCH (WOP-OB),3
Human Factors,0018-7208,1547-8181,PSYCH (WOP-OB),3
Human Performance,0895-9285,1532-7043,PSYCH (WOP-OB),3
International Journal of Rehabilitation Research,0342-5282,1473-5660,PSYCH (WOP-OB),3
Journal of Business and Psychology,0889-3268,1573-353X,PSYCH (WOP-OB),3
Journal of Managerial Psychology,0268-3946,1758-7778,PSYCH (WOP-OB),3
Journal of School Psychology,0022-4405,1873-3506,PSYCH (WOP-OB),3
Occupational and Environmental Medicine,1351-0711,1470-7926,PSYCH (WOP-OB),3
"Scandinavian Journal of Work, Environment and Health",0355-3140,1795-990X,PSYCH (WOP-OB),3
Applied Psychological Measurement,0146-6216,1552-3497,PSYCH (WOP-OB),2
Applied Psychology: Health and Well-Being,1758-0846,1758-0854,PSYCH (WOP-OB),2
"Cognition, Technology and Work",1435-5558,1435-5566,PSYCH (WOP-OB),2
Group Dynamics,1089-2699,1930-7802,PSYCH (WOP-OB),2
International Archives of Occupational and Environmental Health,0340-0131,1432-1246,PSYCH (WOP-OB),2
International Journal of Industrial Ergonomics,0169-8141,1872-8219,PSYCH (WOP-OB),2
International Journal of Selection and Assessment,0965-075X,1468-2389,PSYCH (WOP-OB),2
International Journal of Stress Management,1072-5245,1573-3424,PSYCH (WOP-OB),2
Journal of Applied Social Psychology,0021-9029,1559-1816,PSYCH (WOP-OB),2
Journal of Career Assessment,1069-0727,1552-4590,PSYCH (WOP-OB),2
Journal of Occupational and Environmental Medicine,1076-2752,1536-5948,PSYCH (WOP-OB),2
Journal of Occupational Rehabilitation,1053-0487,1573-3688,PSYCH (WOP-OB),2
Journal of Personnel Psychology,1866-5888,2190-5150,PSYCH (WOP-OB),2
Journal of Safety Research,0022-4375,1879-1247,PSYCH (WOP-OB),2
Organizational Psychology Review,2041-3866,2041-3874,PSYCH (WOP-OB),2
Rehabilitation Psychology,0090-5550,1939-1544,PSYCH (WOP-OB),2
Small Group Research,1046-4964,1552-8278,PSYCH (WOP-OB),2
"Community, Work and Family",1366-8803,1469-3615,PSYCH (WOP-OB),1
Disability and Rehabilitation,0963-8288,1464-5165,PSYCH (WOP-OB),1
European Work and Organizational Psychology in practice,,1736-6399,PSYCH (WOP-OB),1
Gedrag en Organisatie,0921-5077,1875-7235,PSYCH (WOP-OB),1
Human Factors and Ergonomics In Manufacturing,1090-8471,1520-6564,PSYCH (WOP-OB),1
IISE Transactions on Occupational Ergonomics and Human Factors,2472-5838,2472-5846,PSYCH (WOP-OB),1
Industrial and Organizational Psychology,1754-9426,1754-9434,PSYCH (WOP-OB),1
International Coaching Psychology Review,1750-2764,2396-8753,PSYCH (WOP-OB),1
International Journal for Educational and Vocational Guidance,1873-0388,1573-1782,PSYCH (WOP-OB),1
International Journal of Occupational Safety and Ergonomics,1080-3548,2376-9130,PSYCH (WOP-OB),1
Cliometrica,1863-2505,1863-2513,BUS HIST & ECON HIST,2
Economic History of Developing Regions,2078-0389,2078-0397,BUS HIST & ECON HIST,2
Entreprises et Histoire,1161-2770,2100-9864,BUS HIST & ECON HIST,2
Essays in Economic and Business History,,2376-9459,BUS HIST & ECON HIST,2
European Journal of the History of Economic Thought,0967-2567,1469-5936,BUS HIST & ECON HIST,2
Financial History Review,0968-5650,1474-0052,BUS HIST & ECON HIST,2
Journal of the History of Economic Thought,1053-8372,1469-9656,BUS HIST & ECON HIST,2
Journal of Transport History,0022-5266,1759-3999,BUS HIST & ECON HIST,2
Labor History,0023-656X,1469-9702,BUS HIST & ECON HIST,2
Management and Organizational History,1744-9359,1744-9367,BUS HIST & ECON HIST,2
Historical Studies in Industrial Relations,1362-1572,2049-4459,BUS HIST & ECON HIST,1
Irish Economic and Social History,0332-4893,2050-4918,BUS HIST & ECON HIST,1
Journal of European Economic History,0391-5115,2499-8281,BUS HIST & ECON HIST,1
Journal of Historical Research in Marketing,1755-750X,1755-7518,BUS HIST & ECON HIST,1
Journal of Management History,1751-1348,1758-7751,BUS HIST & ECON HIST,1
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,0212-6109,2041-3335,BUS HIST & ECON HIST,1
Scandinavian Economic History Review,0358-5522,1750-2837,BUS HIST & ECON HIST,1
Zeitschrift für Unternehmensgeschichte,0342-2852,2367-2293,BUS HIST & ECON HIST,1
American Economic Review,0002-8282,1944-7981,ECON,4*
Annals of Statistics,0090-5364,2168-8966,ECON,4*
Econometrica,0012-9682,1468-0262,ECON,4*
Journal of Political Economy,0022-3808,1537-534X,ECON,4*
Quarterly Journal of Economics,0033-5533,1531-4650,ECON,4*
Review of Economic Studies,0034-6527,1467-937X,ECON,4*
American Economic Journal: Applied Economics,1945-7782,1945-7790,ECON,4
American Economic Journal: Macroeconomics,1945-7707,1945-7715,ECON,4
Biometrika,0006-3444,1464-3510,ECON,4
Econometric Theory,0266-4666,1469-4360,ECON,4
Economic Journal,0013-0133,1468-0297,ECON,4
International Economic Review,0020-6598,1468-2354,ECON,4
Journal of Business and Economic Statistics,0735-0015,1537-2707,ECON,4
Journal of Econometrics,0304-4076,1872-6895,ECON,4
Journal of Economic Literature,0022-0515,2328-8175,ECON,4
Journal of Economic Perspectives,0895-3309,1944-7965,ECON,4
Journal of Economic Theory,0022-0531,1095-7235,ECON,4
Journal of International Economics,0022-1996,1873-0353,ECON,4
Journal of Labor Economics,0734-306X,1537-5307,ECON,4
Journal of Monetary Economics,0304-3932,1873-1295,ECON,4
Journal of the American Statistical Association,0162-1459,1537-274X,ECON,4
Journal of the European Economic Association,1542-4774,1542-4766,ECON,4
Journal of the Royal Statistical Society. Series B: Statistical Methodology,1369-7412,1467-9868,ECON,4
Quantitative Economics,1759-7323,1759-7331,ECON,4
RAND Journal of Economics,0741-6261,1756-2171,ECON,4
Review of Economics and Statistics,0034-6535,1530-9142,ECON,4
Theoretical Economics,1933-6837,1555-7561,ECON,4
American Economic Journal: Economic Policy,1945-7731,1945-774X,ECON,3
American Economic Journal: Microeconomics,1945-7669,1945-7685,ECON,3
American Economic Review: Insights,2640-205X ,2640-2068,ECON,3
American Journal of Agricultural Economics,0002-9092,1467-8276,ECON,3
Annual Review of Economics,1941-1383,1941-1391,ECON,3
International Journal of Workplace Health Management,1753-8351,1753-836X,PSYCH (WOP-OB),1
International Negotiation,1382-340X,1571-8069,PSYCH (WOP-OB),1
Journal of Career Development,0894-8453,1573-3548,PSYCH (WOP-OB),1
Journal of Employment Counseling,0022-0787,2161-1920,PSYCH (WOP-OB),1
Journal of Rehabilitation,1607-2960,,PSYCH (WOP-OB),1
Military Psychology,0899-5605,1532-7876,PSYCH (WOP-OB),1
Occupational Medicine,0962-7480,1471-8405,PSYCH (WOP-OB),1
Psychologie du Travail et des Organisations,1420-2530,1778-3631,PSYCH (WOP-OB),1
Psychologist-Manager Journal,1088-7156,1550-3461,PSYCH (WOP-OB),1
Rehabilitation Counseling Bulletin,0034-3552,1538-4853,PSYCH (WOP-OB),1
Research in Occupational Stress and Well Being,1479-3555,,PSYCH (WOP-OB),1
Revue Europeenne de Psychologie Appliquee,1162-9088,1878-3457,PSYCH (WOP-OB),1
Social Work in Public Health,1937-1918,1937-190X,PSYCH (WOP-OB),1
South African Journal of Industrial Psychology,0258-5200,2071-0763,PSYCH (WOP-OB),1
"Sport, Exercise, and Performance Psychology",2157-3905,2157-3913,PSYCH (WOP-OB),1
The International Journal of Aerospace Psychology,2472-1840,2472-1832,PSYCH (WOP-OB),1
"TPM - Testing, Psychometrics, Methodology in Applied Psychology",1972-6325,,PSYCH (WOP-OB),1
Work,1051-9815,1875-9270,PSYCH (WOP-OB),1
Zeitschrift fur Arbeits- und Organisationspsychologie,0932-4089,2190-6270,PSYCH (WOP-OB),1
Public Administration Review,0033-3352,1540-6210,PUB SEC,4*
Governance,0952-1895,1468-0491,PUB SEC,4
Journal of Public Administration Research and Theory,1053-1858,1477-9803,PUB SEC,4
Public Administration,0033-3298,1467-9299,PUB SEC,4
Public Management Review,1471-9037,1471-9045,PUB SEC,4
American Review of Public Administration,0275-0740,1552-3357,PUB SEC,3
Environment and Planning C: Politics and Space,2399-6544,2399-6552,PUB SEC,3
Health Services Research,0017-9124,1475-6773,PUB SEC,3
International Public Management Journal,1096-7494,1559-3169,PUB SEC,3
International Review of Administrative Sciences,0020-8523,1461-7226,PUB SEC,3
Journal of European Public Policy,1350-1763,1466-4429,PUB SEC,3
Journal of Policy Analysis and Management,0276-8739,1520-6688,PUB SEC,3
Milbank Quarterly,0887-378X,1468-0009,PUB SEC,3
Policy and Politics,0305-5736,1470-8442,PUB SEC,3
Policy Studies Journal,0190-292X,1541-0072,PUB SEC,3
Regulation and Governance,1748-5983,1748-5991,PUB SEC,3
Administration and Society,0095-3997,1552-3039,PUB SEC,2
Australian Journal of Public Administration,0313-6647,1467-8500,PUB SEC,2
Educational Management Administration and Leadership,1741-1432,1741-1440,PUB SEC,2
Evidence and Policy,1744-2648,1744-2656,PUB SEC,2
Health Care Management Review,0361-6274,1550-5030,PUB SEC,2
Health Care Management Science,1386-9620,1572-9389,PUB SEC,2
Health Policy,0168-8510,1872-6054,PUB SEC,2
International Journal of Emergency Services,2047-0894,2047-0908,PUB SEC,2
International Journal of Public Administration,0190-0692,1532-4265,PUB SEC,2
Journal of Health Services Research and Policy,1355-8196,1758-1060,PUB SEC,2
Journal of Public Policy ,0143-814X,1469-7815,PUB SEC,2
Local Government Studies,0300-3930,1743-9388,PUB SEC,2
Perspectives on Public Management & Governance,2398-4910,2398-4929,PUB SEC,2
Policing,1363-951X,1758-695X,PUB SEC,2
Policy Design and Practice,,2574-1292,PUB SEC,2
Policy Studies,0144-2872,1470-1006,PUB SEC,2
Public Administration and Development,0271-2075,1099-162X,PUB SEC,2
Public Integrity,1099-9922,1558-0989,PUB SEC,2
Public Money and Management,0954-0962,1467-9302,PUB SEC,2
Public Organization Review,1566-7170,1573-7098,PUB SEC,2
Public Performance & Management Review,1530-9576,1557-9271,PUB SEC,2
Public Personnel Management,0091-0260,1945-7421,PUB SEC,2
